label,review_text,clean_text,sentiment
2,"Typical Bowie: Very Good and Very Bad: I've always felt Bowie's albums featured too many throwaway dities, and ""Hours"" adhered to that rule. (""Station to Station"" was an exception because it only featured six songs.) His good songs are usually excellent however, and there were enough of those on this album to give it four stars. I especially liked ""Pretty Things.."", ""Seven,"" ""Survive,"" and the last song. ""Tuesday's Child"" totally lost me though, and what was that reason for that dopey instrumental? Worth a listen for the good stuff.",typical bowie very good and very bad i ve always felt bowie s albums featured too many throwaway dities and hours adhered to that rule station to station was an exception because it only featured six songs his good songs are usually excellent however and there were enough of those on this album to give it four stars i especially liked pretty things seven survive and the last song tuesday s child totally lost me though and what was that reason for that dopey instrumental worth a listen for the good stuff,2
1,"review part 2: why are there people demanding we read the book first?!?!?!?!?!?a movie is what a movie is.WE ALL KNOW ABOUT THE LIMITS MOVIES HAVE/BOOKS DONT.that doesnt excuse the movie version to be awefull as this certainly was.look at the hannible movies,both are brilliant.exorcist,jaws,some of kings books have been adapted quite well.BUT THIS!?!?!?!?!?!?!?!?!?and how could you mr. freeman allow yourself to be part of such junk??????????what i hate most about movies is the fact that the audience are forced to take for granted what the directors claim to be a plot.example;why does drowning(maybe)give jason super human strength?ok,we are forced to take it.BELEIVEABLITY is key to any/every movie(comedies not included)if all involved couldnt make the movie version somewhat as good as the book,then why do it all?no,one doesnt have to read book before watching movie.one wont help the other.ONLY NOT MAKING THIS WOULD MAKE THIS A GOOD MOVIE.AGAIN,YOU DONT HAVE TO READ BOOK FIRST.sheesh!!!!!!!!",review part 2 why are there people demanding we read the book first a movie is what a movie is we all know about the limits movies have books dont that doesnt excuse the movie version to be awefull as this certainly was look at the hannible movies both are brilliant exorcist jaws some of kings books have been adapted quite well but this and how could you mr freeman allow yourself to be part of such junk what i hate most about movies is the fact that the audience are forced to take for granted what the directors claim to be a plot example why does drowning maybe give jason super human strength ok we are forced to take it beleiveablity is key to any every movie comedies not included if all involved couldnt make the movie version somewhat as good as the book then why do it all no one doesnt have to read book before watching movie one wont help the other only not making this would make this a good movie again you dont have to read book first sheesh,1
2,"The most romantic movie of all time!: I am 14 years old right now. I saw GWTW when I was 10 years old when it was first released on DVD. Not many of my friends have seen this movie, basically because it is a classic. I like classic movies. The DVD quality is great. The picture is very sharp and the sound is pretty well done in 5.1 surround. This movie is awesome! Get it! I warn you the MGM edition has a booklet that contains a main menu shot of more bonus footage, but my copy doesn't have the features. My DVD is a ""flipper disc"" though. The first side is 2 hours and the second side is about also about 2 hours. Plus, the DVD has less footage, the video has more footage according to the time length. Check it out. Its awesome!",the most romantic movie of all time i am 14 years old right now i saw gwtw when i was 10 years old when it was first released on dvd not many of my friends have seen this movie basically because it is a classic i like classic movies the dvd quality is great the picture is very sharp and the sound is pretty well done in 5 1 surround this movie is awesome get it i warn you the mgm edition has a booklet that contains a main menu shot of more bonus footage but my copy doesn t have the features my dvd is a flipper disc though the first side is 2 hours and the second side is about also about 2 hours plus the dvd has less footage the video has more footage according to the time length check it out its awesome,2
1,"The D in Big D Films just may stand for 'DUD' - who knows?: FREAKS is definitely an unusual movie and has an assured place in motion picture history. My 2-star rating is NOT for the film itself.The question here is product QUALITY.I've been checking out various offerings from this gray market dealer. Seems reviewers give their movies either 5 star or 1 star ratings. While one will laud their superior transfer quality the next absolutely trashes it as THE WORST. Very contradictory. VERY confusing! Also, I've seen a single new reviewer who's posted 5 reviews, four of which are five-star BIG D ones. That's too coincidental for me!I won't spend significant bucks to find out which is correct: the raves or the brickbats. There's too many viable options out there to take a chance, IMO.Caveat emptor, folks.",the d in big d films just may stand for dud who knows freaks is definitely an unusual movie and has an assured place in motion picture history my 2 star rating is not for the film itself the question here is product quality i ve been checking out various offerings from this gray market dealer seems reviewers give their movies either 5 star or 1 star ratings while one will laud their superior transfer quality the next absolutely trashes it as the worst very contradictory very confusing also i ve seen a single new reviewer who s posted 5 reviews four of which are five star big d ones that s too coincidental for me i won t spend significant bucks to find out which is correct the raves or the brickbats there s too many viable options out there to take a chance imo caveat emptor folks,1
1,"The WORST album in the whole World!!: I used to be a Kiss fan but this album is terrible. Ace can't play guitar anymore and Peter never could play drums. I can't believe Paul and Gene fired the two best musicians of Kiss, Mr. Bruce Kulick and Mr. Eric Singer.",the worst album in the whole world i used to be a kiss fan but this album is terrible ace can t play guitar anymore and peter never could play drums i can t believe paul and gene fired the two best musicians of kiss mr bruce kulick and mr eric singer,1
1,"This almost deserves the label ""fraudulent"": Like many other people who were taken in, I was shocked to discover that the entire Introduction had vanished ""somewhere"" --- terminated halfway down the first page with a question mark.The rest of the book is set in an awful font (think Courier 10) and riddled with typos --- to such an extent that you actually wonder whether you are getting Chesterton's thoughts. What does it mean for something to be called ""mook?"" Is that the OCR software going crazy over ""meek"" or ""moo?""Obviously the book was never edited at all; no editor could have possibly overlooked the missing Introduction.DO NOT BUY THIS MISERABLE THING.",this almost deserves the label fraudulent like many other people who were taken in i was shocked to discover that the entire introduction had vanished somewhere terminated halfway down the first page with a question mark the rest of the book is set in an awful font think courier 10 and riddled with typos to such an extent that you actually wonder whether you are getting chesterton s thoughts what does it mean for something to be called mook is that the ocr software going crazy over meek or moo obviously the book was never edited at all no editor could have possibly overlooked the missing introduction do not buy this miserable thing,1
1,"No, no D'Onofrio: Not a great movie. Vincent D'Onofrio is my FAVORITE actor, but his acting skills are wasted on this movie. Cannot recommend this poor movie.",no no d onofrio not a great movie vincent d onofrio is my favorite actor but his acting skills are wasted on this movie cannot recommend this poor movie,1
1,"Extremely poor audio quality: Wow, was I disappointed with this purchase! The audio quality of this CD is horrendous. It's hard to imagine that with today's technology, the record label couldn't produce a better product. It's quite obvious that they're simply trying to suck more dollars out of the unsuspecting public.I've always been a huge Barry Manilow fan -- growing up with his heartful, albeit sappy, ballads. Too bad this particular CD is such poor quality.DON'T WASTE YOUR MONEY!P.S. To the reviewer who slammed BM: If you don't like his music to begin with, why in the world did you buy his CD? And, if you didn't buy it, don't waste our time writing reviews!",extremely poor audio quality wow was i disappointed with this purchase the audio quality of this cd is horrendous it s hard to imagine that with today s technology the record label couldn t produce a better product it s quite obvious that they re simply trying to suck more dollars out of the unsuspecting public i ve always been a huge barry manilow fan growing up with his heartful albeit sappy ballads too bad this particular cd is such poor quality don t waste your money p s to the reviewer who slammed bm if you don t like his music to begin with why in the world did you buy his cd and if you didn t buy it don t waste our time writing reviews,1
1,"worst paper feed ever: It looks great, lcd screen with media card slots was nice touch..but what good is it if it can't take in any paper to PRINT ANY THING OUT ...I was able to get it to take in paper using exclusive HP paperand ONE PAPER at a time it works SOME TIMES.My first HP printer and it will be my LAST,when I run out of Ink on the darn thing, rather thanburning 60 bucks for INK I would buy a LEXMARK again.",worst paper feed ever it looks great lcd screen with media card slots was nice touch but what good is it if it can t take in any paper to print any thing out i was able to get it to take in paper using exclusive hp paperand one paper at a time it works some times my first hp printer and it will be my last when i run out of ink on the darn thing rather thanburning 60 bucks for ink i would buy a lexmark again,1
1,"There is little new information in this book.: Despite its claim to offer the latest news regarding antidepressants, this book basically is compilation of already published information. It barely mentions the newer classes of drugs (post SSRIs: Remeron, Effexor, Wellbutrin, Serzone) and doesn't even mention the most popular SSRI in the world, Celexa. As far as I could tell, the author, a pharmacist and not a doctor, got all of his anecdotal evidence from one actual physician--the one who wrote the brief introduction. There is nothing in this book that one couldn't easily find surfing the Internet (particularly at these drugs' own Web sites) in about half an hour.",there is little new information in this book despite its claim to offer the latest news regarding antidepressants this book basically is compilation of already published information it barely mentions the newer classes of drugs post ssris remeron effexor wellbutrin serzone and doesn t even mention the most popular ssri in the world celexa as far as i could tell the author a pharmacist and not a doctor got all of his anecdotal evidence from one actual physician the one who wrote the brief introduction there is nothing in this book that one couldn t easily find surfing the internet particularly at these drugs own web sites in about half an hour,1
1,"Beware, only Castillian spoken here: This set is fine if you only want to learn Spanish in the Castillian accent. Castillian is a rare accent that you will encounter in certain areas of Spain. No Latin American countries use Castillian! You'd be better off with a different set of software if you truly want to learn the Spanish that most native speakers use.",beware only castillian spoken here this set is fine if you only want to learn spanish in the castillian accent castillian is a rare accent that you will encounter in certain areas of spain no latin american countries use castillian you d be better off with a different set of software if you truly want to learn the spanish that most native speakers use,1
2,"Kids' Favorite Songs 2: I gave this a 4 star because it doesn't keep my child's attention as well as the other Sesame Street DVDs do. It has popular kid's songs instead of original Sesame Street songs. Also, there are lots of real people in it, instead of all Sesame Street characters. It's still good, but not as good as others.",kids favorite songs 2 i gave this a 4 star because it doesn t keep my child s attention as well as the other sesame street dvds do it has popular kid s songs instead of original sesame street songs also there are lots of real people in it instead of all sesame street characters it s still good but not as good as others,2
1,"Predictable: This movie had the worst most predictable plot in the world. It's your typical "" Run from the insane russian terrorists "" plot you've seen over and over again. The dialogue is also pretty stupid with one-liners like "" Sup B****es "" and "" Wicked Cool, man "". However, the stunt sequences were pretty awesome. And whats the deal with the dvd features? There's hardly any features on it!",predictable this movie had the worst most predictable plot in the world it s your typical run from the insane russian terrorists plot you ve seen over and over again the dialogue is also pretty stupid with one liners like sup b es and wicked cool man however the stunt sequences were pretty awesome and whats the deal with the dvd features there s hardly any features on it,1
2,"Awesome price and value: This tool is very accurate, affordable and I use it all the time when I reload to verify each shell.",awesome price and value this tool is very accurate affordable and i use it all the time when i reload to verify each shell,2
2,"How to beat the gray marks: I like the simple design of Noritake Colorwave dishes, but was unhappy with gray marks from metal tableware. I have discovered that the right dishwasher detergent takes care of this. I was using a phosphate-free powder, for ecological reasons, but it was not getting my dishes clean. Researching this, I learned that in the last year, phosphate-free dishwasher detergents have improved a lot, so this problem may go away by itself. Otherwise, try a different phosphate-free detergent; the tablets seem to work best.",how to beat the gray marks i like the simple design of noritake colorwave dishes but was unhappy with gray marks from metal tableware i have discovered that the right dishwasher detergent takes care of this i was using a phosphate free powder for ecological reasons but it was not getting my dishes clean researching this i learned that in the last year phosphate free dishwasher detergents have improved a lot so this problem may go away by itself otherwise try a different phosphate free detergent the tablets seem to work best,2
1,"NetGear: unreliable, bad support & performance: I've owned a variety of NetGear units over the last five years, mostly stuff given to me, bought cheaply at sell-outs, and left over from dot-bomb company crashes.I keep using them because I have four of the same units I didn't pay for, and I only have three connections hooked to them. I gave up dealing w/their support years ago.Once or twice a year the unit and/or the power supply burns out, and I recycle the unit at a local company. When I run out of units or power supplies, I'll be done with NetGear and will avoid them completely in the future.The Linksys router I have sitting next to it is four years old and still running without any downtime.",netgear unreliable bad support performance i ve owned a variety of netgear units over the last five years mostly stuff given to me bought cheaply at sell outs and left over from dot bomb company crashes i keep using them because i have four of the same units i didn t pay for and i only have three connections hooked to them i gave up dealing w their support years ago once or twice a year the unit and or the power supply burns out and i recycle the unit at a local company when i run out of units or power supplies i ll be done with netgear and will avoid them completely in the future the linksys router i have sitting next to it is four years old and still running without any downtime,1
1,"Good Cd BUT...: I got this CD using Pepsi Stuff Points. The case was cracked when it arrived but the CD was okay. Good tunes, lowsey delivery service...",good cd but i got this cd using pepsi stuff points the case was cracked when it arrived but the cd was okay good tunes lowsey delivery service,1
2,"Racial.: A good look at police power gone wrong. The sheriff looks out for his buddies with little concern for his clients, the county citizens. It also shows the ugly face of racism in this case also the criminal actions of the Clan aka the KKK. I'd recommend all Southern Rednecks to watch this movie and learn from it. Lots of brutality. Carlton Heston as the city of Dalton's Patriarch did a superb job. It's a good movie for a broad adult audience. Don't expect the viewing quality of today's DVD's tho. It's been, as good as possible, formatted from VHS onto DVD.",racial a good look at police power gone wrong the sheriff looks out for his buddies with little concern for his clients the county citizens it also shows the ugly face of racism in this case also the criminal actions of the clan aka the kkk i d recommend all southern rednecks to watch this movie and learn from it lots of brutality carlton heston as the city of dalton s patriarch did a superb job it s a good movie for a broad adult audience don t expect the viewing quality of today s dvd s tho it s been as good as possible formatted from vhs onto dvd,2
2,"Daughter loved the book: Daughter loved the book, it's a classic and what more is there to say? Except that the review require me to write more. SO there.",daughter loved the book daughter loved the book it s a classic and what more is there to say except that the review require me to write more so there,2
1,"Great concept, but...: I am a new owner of a Nikon 8400 camera (a great item, by the way). I like the MB-CP10 Battery Pack for taking vertical photos. It adds body and convenience to the camera. However, I was disappointed to find out that it is not a supplemental battery. The user must either use the camera battery OR the CP-10. So, if you are using this item for taking vertical pictures...understand that you will only be using the ""AA"" batteries, which burn up pretty fast.",great concept but i am a new owner of a nikon 8400 camera a great item by the way i like the mb cp10 battery pack for taking vertical photos it adds body and convenience to the camera however i was disappointed to find out that it is not a supplemental battery the user must either use the camera battery or the cp 10 so if you are using this item for taking vertical pictures understand that you will only be using the aa batteries which burn up pretty fast,1
2,"A great CD! Highly recommended!: Almost a perfect album with the exception of 4 tracks missing: Little Too Late, You Better Run, I'm Going To Follow You and Precious Time. Other than that, a great CD !",a great cd highly recommended almost a perfect album with the exception of 4 tracks missing little too late you better run i m going to follow you and precious time other than that a great cd,2
2,"How can Season 4 beat this?: Amazing, addictive, exciting, brilliant!With each season all of the above seem to apply and improve. This past season (Third) was the best thus far. If the fourth season out does the third, I don't know if I can handle it.I look forward to the release of this series. I could never tire of Dexter and it will fill my addiction until the upcoming Season Four!",how can season 4 beat this amazing addictive exciting brilliant with each season all of the above seem to apply and improve this past season third was the best thus far if the fourth season out does the third i don t know if i can handle it i look forward to the release of this series i could never tire of dexter and it will fill my addiction until the upcoming season four,2
2,"Love That Dog: Love that Dog is an inspiring and uplifting novel! It speaks of a boy and his relationship with a very special dog and a poet that reaches out to Jack (the boy) and makes him want to write.Love that Dog is a heartwarming novel that you must read. This novel is a unique one, though. It is in the form of a poem! This poetry novel is a reflection of ups and downs of having a dog, being inspired by a wonderful person, but mostly, living life and going with it.This is a book you will not regret reading! There is also a sequel to this fantastic book, Hate that Cat.",love that dog love that dog is an inspiring and uplifting novel it speaks of a boy and his relationship with a very special dog and a poet that reaches out to jack the boy and makes him want to write love that dog is a heartwarming novel that you must read this novel is a unique one though it is in the form of a poem this poetry novel is a reflection of ups and downs of having a dog being inspired by a wonderful person but mostly living life and going with it this is a book you will not regret reading there is also a sequel to this fantastic book hate that cat,2
2,Speed stacks: my child began playing these in gym and wanted a set for herself. She was very good at speed stacking.,speed stacks my child began playing these in gym and wanted a set for herself she was very good at speed stacking,2
1,"Repetitive: I couldn't even finish this book which says a lot because I hate not finishing what I've started. It's way to repetitive and one dimensional. The only part I really enjoyed of the book were the love stories. The rest were just the same thing over and over...guy joins the army, comes home and becomes a lawyer, politician, something of that sort. I have the utmost respect for that generation, but this book was lacking feeling...",repetitive i couldn t even finish this book which says a lot because i hate not finishing what i ve started it s way to repetitive and one dimensional the only part i really enjoyed of the book were the love stories the rest were just the same thing over and over guy joins the army comes home and becomes a lawyer politician something of that sort i have the utmost respect for that generation but this book was lacking feeling,1
2,Good Value Hot Coffee: Keeps Coffee Almost As Hot As When Poured From Coffee Pot.I like mine piping hot. I'm picky. This does keep it almost that hot though.Nice Long Cord (Over 5 Feet)Off/On Switch Conveniently Located On Coaster Front.Four Grip Feet On Bottom. Doesn't Burn Surface Of Table. Doesn't Slide Around.Good Buy!,good value hot coffee keeps coffee almost as hot as when poured from coffee pot i like mine piping hot i m picky this does keep it almost that hot though nice long cord over 5 feet off on switch conveniently located on coaster front four grip feet on bottom doesn t burn surface of table doesn t slide around good buy,2
1,"Don't Order this product: The magizine itself was good with the one issue they sent. I only received one issue then did not receive another. I ordered in June and now it's September. I received one Magazine. I contacted Men's Fitness Customer Support who said they would reply in 24-48 hours and it's now been a week in a half with nothing. I used to receive Men's Health and I am now going to make the switch. It's more money, but they actually show up each week. Very bad Customer Service. I would not recommend this to anyone.",don t order this product the magizine itself was good with the one issue they sent i only received one issue then did not receive another i ordered in june and now it s september i received one magazine i contacted men s fitness customer support who said they would reply in 24 48 hours and it s now been a week in a half with nothing i used to receive men s health and i am now going to make the switch it s more money but they actually show up each week very bad customer service i would not recommend this to anyone,1
1,Doesn't fit.: Amazon lists this as a memory card for the Garmin Nuvi 500. It is physically too big. Buyer beware--don't count on Amazon to know what accessories work with the products they sell.,doesn t fit amazon lists this as a memory card for the garmin nuvi 500 it is physically too big buyer beware don t count on amazon to know what accessories work with the products they sell,1
2,Very nice: This game is a very good game. It has many way to approch it so it never becomes boring. Much better then it's sequal Gangsters 2. It is not easy though but not impossible. I enjoyed this game very much and I recommend this game to anyone who likes sim games.,very nice this game is a very good game it has many way to approch it so it never becomes boring much better then it s sequal gangsters 2 it is not easy though but not impossible i enjoyed this game very much and i recommend this game to anyone who likes sim games,2
2,Perfect Grooming Tool: This is a Perfect Precision Grooming Tool. Incredibly fine point makes removing the smallest hair possible. Easy to use. Great Price. Quality Item.,perfect grooming tool this is a perfect precision grooming tool incredibly fine point makes removing the smallest hair possible easy to use great price quality item,2
2,"Terrific Fun: In all of television history, I can't think of a better love story than that of Angel and Buffy, the mismatched lovers on ""Buffy the Vampire Slayer."" It has passion, sex, violence, all the angst of youth tormented by parents and a world that contrives to keep them apart. The episode ""Angel"" introduces us to that romance and it's a great way for newcomers to the series to catch up. ""The Puppet Show"" is creepy but also a real riot. The strength of ""Buffy"" has always been its knack for portraying high school as a horror movie. Sure, vampires are scary. But so are high school principals with Napoleon complexes. I only hope the WB releases more episodes on videotape.",terrific fun in all of television history i can t think of a better love story than that of angel and buffy the mismatched lovers on buffy the vampire slayer it has passion sex violence all the angst of youth tormented by parents and a world that contrives to keep them apart the episode angel introduces us to that romance and it s a great way for newcomers to the series to catch up the puppet show is creepy but also a real riot the strength of buffy has always been its knack for portraying high school as a horror movie sure vampires are scary but so are high school principals with napoleon complexes i only hope the wb releases more episodes on videotape,2
1,should have been better: finally got around to watching this film because I've always been a Huge fan of Meryl Streep's&heard about the story that has Uma Thurman&Bryan Greenburg in a story of a Relationship between a Older Woman&a Younger Man. the interesting story is that the Younger Man's Mother happens to be Uma's character's Shrink. but the Movie has so many cliches&drags in places. I didn't like how it ended&I felt it could have had more bite in the middle. after a while the film feels run of the mill&a waste of the Talent that was Assembled.,should have been better finally got around to watching this film because i ve always been a huge fan of meryl streep s heard about the story that has uma thurman bryan greenburg in a story of a relationship between a older woman a younger man the interesting story is that the younger man s mother happens to be uma s character s shrink but the movie has so many cliches drags in places i didn t like how it ended i felt it could have had more bite in the middle after a while the film feels run of the mill a waste of the talent that was assembled,1
2,"Sounds from Heaven: It is no coincidence that this CD was released on November 22nd., which is associated with St. Cecilia's Day. In John Dryden's Ode to St. Cecilia, he portays St. Cecilia as having a voice so pure that when an angel heard it, he appeared before her, mistaking earth for heaven. This is the best way to describe this Enya CD. I recommend this CD to anyone who wants to be uplifted to the sounds of heaven in these troublesome times!",sounds from heaven it is no coincidence that this cd was released on november 22nd which is associated with st cecilia s day in john dryden s ode to st cecilia he portays st cecilia as having a voice so pure that when an angel heard it he appeared before her mistaking earth for heaven this is the best way to describe this enya cd i recommend this cd to anyone who wants to be uplifted to the sounds of heaven in these troublesome times,2
2,One of a kind book for timber frame building.: My husband loves this book. He said he has learned so much and that this was the best book to learn how to build a timber frame house by.,one of a kind book for timber frame building my husband loves this book he said he has learned so much and that this was the best book to learn how to build a timber frame house by,2
1,Another lame mattel product: Please don't waste your money on this one. My four year old son loves the justice league and thinks this toy is pretty great. The problem is the elevator for one never worked and the tower is supposed to be supported by three crappily made narrow suction looking thingys. The minute my son goes to open one of the towers sides the whole damn thing collapses. This happens everytime. I finally just took the three support things off of it and put them away. The gun launcher thingys on top also continue to fall off. Luckily my sons was purchased on sale for only $14 but it's made so cheap and frustrated my son so much that I still feel completely ripped off.,another lame mattel product please don t waste your money on this one my four year old son loves the justice league and thinks this toy is pretty great the problem is the elevator for one never worked and the tower is supposed to be supported by three crappily made narrow suction looking thingys the minute my son goes to open one of the towers sides the whole damn thing collapses this happens everytime i finally just took the three support things off of it and put them away the gun launcher thingys on top also continue to fall off luckily my sons was purchased on sale for only 14 but it s made so cheap and frustrated my son so much that i still feel completely ripped off,1
2,"Camera as described and works: Thanks, camera as described. Works as expected or hoped. Thanks, camera as described. Works as expected or hoped.Thanks, camera as described. Works as expected or hoped.",camera as described and works thanks camera as described works as expected or hoped thanks camera as described works as expected or hoped thanks camera as described works as expected or hoped,2
1,"The One Redeeming Feature of This Piece of Tripe.: What a pathetic, degrading waste of talent on the part of actor Bela Lugosi, cast ludicrously in what comes close to equaling such bottom-of-the-barrel schlock as BRIDE OF THE MONSTER. And yet...and yet......if you love Lugosi's mellifluous, Hungarian-accented intonations (as I do), just sit back and ignore (or ""enjoy"") the film's imbecilic dialogue, implausible plot, stilted acting, and utterly hilarious direction, and allow yourself to be carried away by the erstwhile treasured voice that gave Bela Lugosi the fame and stature he so rightfully deserved back in the 30s from such memorable films as THE RAVEN, THE BLACK CAT, THE INVISIBLE RAY, SON OF FRANKENSTEIN and, of course, DRACULA.",the one redeeming feature of this piece of tripe what a pathetic degrading waste of talent on the part of actor bela lugosi cast ludicrously in what comes close to equaling such bottom of the barrel schlock as bride of the monster and yet and yet if you love lugosi s mellifluous hungarian accented intonations as i do just sit back and ignore or enjoy the film s imbecilic dialogue implausible plot stilted acting and utterly hilarious direction and allow yourself to be carried away by the erstwhile treasured voice that gave bela lugosi the fame and stature he so rightfully deserved back in the 30s from such memorable films as the raven the black cat the invisible ray son of frankenstein and of course dracula,1
2,"Uplifting and Beautiful: The scenery in this film was breathtaking- the countryside, the house, the people, the food- the way of life in general was just inspriring.What made this movie great, though, was the romance between Frances and Marcello. In any typical romantic comedy, the broken-down and lonely Frances would have met Marcello and all her problems would have been solved. The end. But in this film, Frances thinks her life has turned around and that she has found the answer to her prayers....but, like in real life, this is not the case.I liked this movie because it didn't sugar-coat anything, but at the same time it was very uplifting.",uplifting and beautiful the scenery in this film was breathtaking the countryside the house the people the food the way of life in general was just inspriring what made this movie great though was the romance between frances and marcello in any typical romantic comedy the broken down and lonely frances would have met marcello and all her problems would have been solved the end but in this film frances thinks her life has turned around and that she has found the answer to her prayers but like in real life this is not the case i liked this movie because it didn t sugar coat anything but at the same time it was very uplifting,2
2,"Nice: I had order this for my grandson,it was required reading at his school. He read it in less then 2 days and enjoyed the book very much. They got it out to me fast and would re-order from them again.",nice i had order this for my grandson it was required reading at his school he read it in less then 2 days and enjoyed the book very much they got it out to me fast and would re order from them again,2
